Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
17337202,2,8
17337205,1,96
17337205,2,96
17337206,1,96
17337206,2,96
17337208,1,8
17337208,2,96
17337209,1,2
17337209,1,3
17337209,1,6
17337211,1,96
17337211,2,96
17337215,1,98
17337215,3,96
17337217,1,96
17337217,2,96
17337217,3,96
17337222,1,96
17337222,2,96
17337228,1,96
17337228,2,96
17337232,1,96
17337232,2,96
17337241,1,8
17337241,2,96
17337241,3,96
17337243,1,96
17337243,2,96
17337244,1,96
17337244,2,96
17337249,1,96
17337249,2,8
17337253,1,96
17337253,2,96
17337253,3,96
17337255,1,99
17337255,2,8
17337256,1,96
17337256,2,96
17337258,1,96
17337258,2,96
17337262,1,99
17337262,2,96
17337267,1,96
17337268,1,96
17337268,2,96
17337270,1,96
17337270,2,96
17337271,1,96
17337271,2,96
17337273,1,96
17337273,2,96
17337273,3,96
17337275,1,8
17337275,2,96
17337276,1,98
17337276,2,8
17337277,1,2
17337277,1,5
17337277,2,99
17337278,1,99
17337278,2,96
17337281,1,96
17337281,2,96
17337283,1,99
17337283,2,96
17337298,1,96
17337298,2,98
17337301,1,96
17337302,1,96
17337302,2,96
17337305,1,96
17337305,2,96
17337310,1,96
17337310,3,96
17337322,1,96
17337322,2,96
17337326,1,96
17337329,1,96
17337330,1,8
17337330,2,8
17337331,1,98
17337331,2,96
17337335,1,96
17337336,1,96
17337340,1,96
17337340,2,96
17337348,1,96
17337348,2,96
17337353,1,96
17337353,2,96
17337356,1,96
17337356,2,96
17337356,3,96
17337360,1,96
17337360,2,96
17337370,1,96
17337370,2,96
17337376,1,96
17337376,2,8
17337378,1,96
17337378,2,98
17337381,1,96
17337381,2,96
17337382,1,96
17337383,1,96
17337384,1,96
17337384,2,96
17337390,1,96
17337390,2,96
17337393,1,96
17337393,2,96
17337396,1,96
17337396,2,96
17337398,1,96
17337398,2,96
17337404,1,96
17337405,1,96
17337405,2,96
17337408,1,96
17337408,2,96
17337414,1,96
17337414,2,96
17337416,1,96
17337422,1,8
17337424,1,96
17337424,2,96
17337424,3,96
17337434,1,96
17337455,1,96
17337455,2,96
17337463,1,96
17337463,2,96
17337465,1,8
17337467,1,3
17337468,1,96
17337468,2,96
17337471,1,96
17337471,2,96
17337475,1,96
17337496,1,96
17337496,2,96
17337504,1,2
17337504,1,5
17337504,2,96
17337512,1,96
17337512,2,96
17337515,1,96
17337515,2,96
17337517,1,8
17337517,2,96
17337519,1,96
17337519,2,96
17337521,1,96
17337521,2,96
17337521,3,96
17337523,1,96
17337528,1,99
17337529,1,96
17337529,2,96
17337540,1,96
17337540,3,96
17337544,1,96
17337544,2,96
17337548,1,96
17337548,2,8
17337548,3,96
17337554,1,96
17337556,1,96
17337561,1,96
17337561,2,96
17337570,1,96
17337570,2,96
17337573,1,96
17337573,2,96
17337574,1,96
17337574,2,96
17337574,3,96
17337579,1,8
17337579,2,96
17337581,1,3
17337581,1,6
17337581,3,96
17337582,1,96
17337582,2,96
17337584,1,99
17337589,1,8
17337590,1,8
17337590,2,96
17337598,1,96
17337604,1,8
17337606,1,96
17337606,2,96
17337612,1,96
17337612,2,96
17337614,1,99
17337615,1,96
17337615,2,96
17337617,1,96
17337617,2,96
17337622,1,96
17337622,2,96
17337624,1,96
17337630,1,8
17337630,2,96
17337634,1,96
17337634,2,96
17337637,1,96
17337637,2,96
17337637,3,96
17337647,1,96
17337647,2,96
17337651,1,8
17337651,2,96
17337654,1,96
17337654,2,96
17337655,1,96
17337659,1,96
17337659,2,96
17337660,1,96
17337660,2,8
17337661,1,96
17337661,2,96
17337663,1,96
17337663,2,96
17337665,1,96
17337665,2,96
17337666,1,96
17337666,2,96
17337668,1,96
17337668,2,96
17337669,1,96
17337669,2,96
17337670,1,96
17337670,2,96
17337673,1,96
17337673,2,96
17337674,1,8
17337674,2,96
17337676,1,96
17337676,2,96
17337678,1,96
17337678,2,96
17337679,1,96
17337679,2,99
17337683,1,99
17337683,2,96
17337686,1,96
17337686,2,96
17337687,1,96
17337687,2,96
17337689,1,96
17337689,2,99
17337689,3,96
17337689,4,99
17337689,5,96
17337694,1,96
17337694,2,3
17337694,2,6
17337695,1,96
17337695,2,96
17337696,1,96
17337696,2,96
17337697,1,4
17337697,2,96
17337698,1,96
17337698,2,96
17337699,1,96
17337699,2,96
17337703,1,96
17337704,1,96
17337704,2,96
17337704,3,96
17337704,4,96
17337706,1,99
17337709,1,96
17337709,2,96
17337710,1,8
17337710,2,96
17337711,1,96
17337714,1,98
17337714,2,96
17337715,1,96
17337717,1,96
17337717,2,96
17337719,1,96
17337722,1,96
17337722,2,96
17337724,1,96
17337724,2,96
17337732,1,96
17337732,2,96
17337734,1,96
17337734,2,2
17337734,2,5
17337735,1,96
17337737,1,96
17337737,2,96
17337740,1,96
17337740,2,96
17337747,1,96
17337747,2,96
17337749,1,3
17337749,1,6
17337749,3,96
17337751,2,8
17337755,1,96
17337755,2,8
17337781,1,96
17337796,1,8
17337798,1,8
17337803,1,96
17337811,1,96
17337811,2,8
17337812,1,8
17337812,2,96
17337816,1,96
17337816,2,96
17337817,1,3
17337817,1,6
17337817,2,3
17337817,2,6
17337818,1,96
17337818,2,8
17337824,1,99
17337828,1,96
17337828,2,96
17337831,1,96
17337832,1,3
17337832,1,6
17337832,2,96
17337836,1,96
17337836,2,96
17337838,1,96
17337838,2,96
17337841,1,99
17337844,1,96
17337844,2,96
17337845,1,96
17337845,2,96
17337846,1,96
17337846,2,96
17337847,1,96
17337847,2,96
17337848,1,99
17337849,1,96
17337849,2,96
17337850,1,8
17337850,2,98
17337851,1,96
17337851,2,8
17337852,1,96
17337852,2,96
17337854,1,99
17337854,2,96
17337855,1,96
17337857,1,2
17337857,3,96
17337875,1,96
17337894,1,96
17337894,2,99
17337895,1,96
17337895,2,96
17337906,1,99
17337906,2,96
17337907,1,96
17337907,2,96
17337907,3,96
17337907,4,96
17337910,1,96
17337913,1,96
17337919,1,96
17337919,2,96
17337925,1,96
17337929,1,96
17337929,2,8
17337930,1,96
17337931,1,96
17337931,2,96
17337943,1,96
17337943,3,96
17337943,4,96
17337943,5,99
17337944,1,96
17337944,2,96
17337945,1,99
17337945,2,96
17337947,1,96
17337947,2,96
17337948,1,96
17337948,2,96
17337951,1,96
17337951,2,99
17337964,1,96
17337972,1,96
17337972,2,2
17337972,2,5
17337980,1,96
17337995,1,96
17337996,1,99
17337996,2,96
17338001,1,96
17338001,2,96
17338002,1,96
17338004,1,96
17338004,2,7
17338006,1,96
17338014,1,99
17338014,2,96
17338017,1,96
17338017,2,96
17338025,1,96
17338025,2,96
17338028,1,8
17338028,2,96
17338032,1,96
17338032,2,96
17338033,1,8
17338033,2,96
17338035,1,99
17338035,2,96
17338036,1,96
17338036,2,96
17338037,1,96
17338037,2,96
17338039,1,96
17338039,2,5
17338040,1,96
17338040,2,96
17338041,1,96
17338041,2,96
17338042,1,96
17338043,1,96
17338043,3,96
17338045,1,96
17338045,2,96
17338048,1,96
17338048,2,99
17338050,1,96
17338051,1,96
17338051,2,96
17338058,1,96
17338059,1,96
17338062,1,96
17338062,2,96
17338064,1,8
17338064,2,96
17338066,1,8
17338066,2,96
17338067,1,96
17338067,2,96
17338068,1,96
17338068,2,96
17338069,1,99
17338069,2,98
17338070,1,96
17338073,1,96
17338073,2,96
17338074,1,8
