Crash_ID,Damaged_Property
16931280,10 FT CHAIN LINK FENCE
16931290,DAMAGED LIGHT POLE
16931293,CROSSWALK SIGNAL POLE
16931307,LANDSCAPING (LARGE BUSH)
16931312,WINDOW FRAME
16931315,FENCE
16931324,GUARDRAIL
16931328,GATE
16931330,TRANSFORMER POLE
16931335,MAILBOX
16931381,GUARDRAIL
16931382,LIGHT POLE
16931382,FIRE HYDRANT
16931398,CONCRETE JERSEY BARRIER-NOT DAMAGED
16931401,RETAINING WALL STEEL IMPACT BARRIER
16931414,BROKEN MAILBOX
16931414,BROKEN CURB STRUCTURE
16931435,GATE DAMAGES
16931442,ONE WAY STREET SIGN
16931457,FENCING 30'
16931460,TRAFFIC CONTROL LIGHT POLE MOVED
16931461,300 FT OF GUARD RAIL AND 25 POSTS
16931472,CHAIN-LINK FENCE- 1412 EUCLID ST
16931483,SCRAPED CONCRETE BARRIER
16931504,GUIDE WIRE POLES
16931507,15 FEET OF GRAVEL LANDSCAPING
16931514,CONCRETE BARRIER
16931516,ELECTRICAL POLE
16931531,STOP SIGN
16931534,APPROX 200 FT OF GUARD RAIL DAMAGE
16931539,CONCRETE BARRIER
16931540,CONCRETE BARRIER
16931541,CONCRETE BARRIER
16931548,TRAFFIC LIGHT POLE
16931548,APPROX 50' GUARDRAIL
16931550,METAL STREET LIGHT POLE AND LIGHT
16931565,PHONE POLE
16931574,STOP SIGN / STREET SIGN
16931574,WOOD / BARBWIRE FENCE
16931592,ELECTRICITY POLE ON NW SIDE PLAINS/DIXIE
16931594,BRICK WALL OF BUILDING
16931595,GUARD RAIL DAMAGE
16931608,GUARDRAIL
16931630,LIGHT POLE
16931633,BRICK BARRIER IN DRIVE WAY DAMAGED
16931641,LIGHT POLE
16931653,ELECTRICAL POLE
16931658,PASTURE FENCE
16931659,SMALL FENCE
16931660,BARB WIRE FENCE
16931687,TREE
16931689,METAL GUARDRAIL
16931709,BRICK SIDING AND WINDOW OF HOUSE
16931709,WOODEN PRIVACY FENCE
16931718,STREET LIGHT POLE #0012
16931723,BARBED WIRE FENCE
16931772,FENCE DAMAGED IN 700 BLOCK OF SH 95
16931775,METAL LIGHT POLE
16931781,DARGEL FISHING BOAT
16931784,METAL LIGHT POLE MINOR DAMAGE
