Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
17237864,1,99
17237868,1,19
17237868,2,1
17237871,1,19
17237871,2,19
17237872,1,20
17237873,1,20
17237873,2,99
17237874,1,20
17237874,2,19
17237876,1,19
17237876,2,20
17237880,1,20
17237881,1,20
17237881,2,19
17237883,1,19
17237883,2,1
17237884,1,20
17237884,2,1
17237890,1,99
17237890,2,19
17237891,1,19
17237891,2,9
17237898,1,1
17237898,2,19
17237905,1,20
17237905,2,99
17237909,1,20
17237910,1,98
17237910,2,19
17237912,1,99
17237912,2,98
17237916,1,99
17237917,1,19
17237917,2,19
17237917,3,19
17237924,1,1
17237926,1,20
17237926,2,19
17237928,1,19
17237928,2,1
17237930,1,19
17237930,2,20
17237931,1,98
17237931,2,19
17237932,1,19
17237932,2,19
17237934,1,20
17237934,2,99
17237940,1,20
17237940,2,19
17237941,1,19
17237941,2,99
17237943,1,19
17237943,2,20
17237944,1,19
17237944,2,19
17237948,1,19
17237948,2,99
17237949,1,98
17237949,2,19
17237952,1,19
17237952,2,19
17237954,1,99
17237954,2,19
17237962,1,1
17237962,2,23
17237971,1,19
17237971,2,19
17237979,1,1
17237980,1,19
17237980,2,19
17237982,1,19
17237984,1,19
17237984,2,19
17237986,1,20
17237986,2,20
17237998,1,19
17237998,2,20
17238003,1,19
17238003,2,19
17238005,1,20
17238008,1,19
17238008,2,19
17238014,1,19
17238014,2,19
17238016,1,19
17238016,2,99
17238024,1,99
17238025,1,19
17238025,2,19
17238031,1,19
17238031,2,19
17238045,1,99
17238045,2,99
17238062,1,99
17238062,2,19
17238063,1,99
17238064,1,20
17238065,1,19
17238065,2,19
17238074,1,99
17238079,1,99
17238080,1,1
17238080,2,19
17238080,3,19
17238081,1,99
17238081,2,19
17238083,1,19
17238083,2,19
17238083,3,19
17238084,1,99
17238084,2,19
17238087,1,19
17238087,2,19
17238088,1,20
17238088,2,19
17238089,1,19
17238089,2,20
17238090,1,19
17238100,1,98
17238100,2,19
17238105,1,14
17238105,2,19
17238125,1,19
17238125,3,1
17238131,1,19
17238131,2,1
17238135,1,99
17238135,2,19
17238137,1,19
17238137,2,19
17238138,1,19
17238138,3,19
17238139,1,19
17238144,1,19
17238149,1,19
17238149,2,98
17238154,1,19
17238154,2,19
17238159,1,99
17238162,1,99
17238162,2,98
17238162,3,19
17238164,1,19
17238164,2,19
17238166,1,19
17238166,2,19
17238167,1,19
17238167,2,19
17238169,1,99
17238174,1,99
17238174,2,19
17238177,1,19
17238178,1,19
17238178,2,19
17238184,1,99
17238184,2,19
17238185,1,99
17238185,2,19
17238186,1,19
17238186,2,19
17238187,1,19
17238187,2,19
